,Driver,Year,Circuit,Compounds,StintLengths,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
38,ALB,2020,Autodromo del Mugello,"['SOFT', 'SOFT', 'SOFT', 'MEDIUM', 'SOFT', 'SOFT']","[7, 1, 24, 11, 2, 14]",Red Bull Racing,4.0,30.16988636363636,39.94431818181818,993.6153409090912,0.0,43.10227272727273,126.26136363636364,2.364772727272728
39,ALB,2022,Yas Marina Circuit,"['MEDIUM', 'HARD', 'MEDIUM']","[12, 23, 22]",Williams,19.0,28.575483870967748,61.68387096774194,1013.5206451612902,0.0,34.31032258064516,290.7935483870968,2.608387096774193
40,ALB,2022,Albert Park Circuit,"['HARD', 'SOFT']","[57, 1]",Williams,20.0,26.69743589743589,43.65384615384615,1014.2461538461536,0.0,37.40833333333334,272.8397435897436,1.8128205128205128
41,ALB,2022,,"['MEDIUM', 'HARD', 'HARD']","[11, 2, 57]",Williams,15.0,20.25592105263158,35.13815789473684,939.7125,0.0,30.74671052631579,165.43421052631578,1.2552631578947369
42,ALB,2022,Baku City Circuit,"['MEDIUM', 'HARD', 'HARD']","[9, 20, 21]",Williams,17.0,25.43540372670808,59.49068322981366,1009.9012422360248,0.0,47.14968944099379,266.2919254658385,1.529192546583851
43,ALB,2022,Bahrain International Circuit - 57 laps,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']","[13, 22, 11, 11]",Williams,14.0,23.617791411042944,29.49079754601227,1010.385889570552,0.0,28.61042944785276,124.42944785276072,0.3049079754601227
44,ALB,2022,Circuit de Spa-Francorchamps,"['MEDIUM', 'HARD', 'MEDIUM']","[10, 16, 18]",Williams,6.0,21.78717948717949,40.51923076923077,971.0519230769228,0.0,36.08397435897436,257.1474358974359,1.5192307692307692
45,ALB,2022,Silverstone Circuit,['SOFT'],[1],Williams,16.0,18.25320197044335,59.748768472906406,1002.3581280788176,0.0443349753694581,30.026108374384236,160.49261083743843,1.4561576354679802
46,ALB,2022,Circuit Gilles Villeneuve,"['MEDIUM', 'HARD', 'HARD']","[18, 30, 22]",Williams,12.0,20.762962962962963,28.925925925925927,1012.4012345679012,0.0,41.26111111111111,141.24074074074073,3.552469135802469
47,ALB,2022,Circuit Zandvoort,"['MEDIUM', 'MEDIUM', 'HARD', 'SOFT', 'SOFT']","[21, 21, 13, 1, 16]",Williams,15.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,138.34969325153375,1.061963190184049
48,ALB,2022,Autodromo Enzo e Dino Ferrari,"['INTERMEDIATE', 'MEDIUM']","[17, 45]",Williams,18.0,12.899367088607592,83.17088607594937,1001.0386075949366,0.0,17.41898734177215,87.80379746835443,1.482278481012658
49,ALB,2022,Circuit Paul Ricard,"['MEDIUM', 'HARD']","[18, 35]",Williams,13.0,30.164843750000003,47.734375,967.9078125,0.0,54.46171875,118.1484375,1.94609375
50,ALB,2022,Hungaroring Circuit,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']","[2, 19, 19, 29]",Williams,17.0,18.55988023952096,69.31736526946108,985.5814371257484,0.2754491017964072,26.720958083832333,285.23353293413174,4.0341317365269465
51,ALB,2022,Suzuka Circuit,['INTERMEDIATE'],[1],Williams,16.0,16.717647058823534,86.21176470588236,1015.7062745098038,0.9803921568627452,19.930588235294117,269.38039215686274,2.04078431372549
52,ALB,2022,Autódromo Hermanos Rodríguez,"['MEDIUM', 'SOFT']","[38, 32]",Williams,17.0,24.312727272727276,34.442424242424245,780.4072727272726,0.0,41.68909090909092,197.79393939393935,1.336969696969697
53,ALB,2022,Miami International Autodrome,"['MEDIUM', 'HARD']","[16, 41]",Williams,18.0,30.617283950617285,58.858024691358025,1009.3049382716048,0.0555555555555555,42.81975308641975,174.38888888888889,2.2672839506172835
54,ALB,2022,Circuit de Monaco,"['HARD', 'MEDIUM', 'MEDIUM']","[22, 7, 20]",Williams,16.0,22.27469387755102,75.66530612244898,1002.9922448979592,0.436734693877551,31.038367346938774,206.38367346938776,0.9902040816326528
55,ALB,2022,Jeddah Corniche Circuit,"['MEDIUM', 'HARD']","[13, 35]",Williams,16.0,25.42039473684211,59.66447368421053,1012.7776315789474,0.0,28.40921052631579,304.50657894736844,2.359210526315789
56,ALB,2022,Marina Bay Street Circuit,['INTERMEDIATE'],[25],Williams,18.0,26.23254901960784,87.44705882352942,1008.1439215686274,0.1803921568627451,28.973333333333333,108.93333333333334,0.9298039215686276
57,ALB,2022,Circuit de Barcelona-Catalunya,"['SOFT', 'MEDIUM', 'SOFT', 'MEDIUM', 'SOFT']","[11, 14, 20, 9, 10]",Williams,18.0,36.56585365853658,7.109756097560975,996.0158536585366,0.0,48.957317073170735,176.82926829268294,3.488414634146341
58,ALB,2022,,"['HARD', 'MEDIUM', 'MEDIUM', 'MEDIUM']","[4, 21, 22, 24]",Williams,19.0,23.01077844311377,76.07784431137725,922.160479041916,0.0,46.04910179640718,161.4431137724551,1.444311377245509
