classifier,regressor,stint_accuracy,stint1_compound_accuracy,stint2_compound_accuracy,stint3_compound_accuracy,stint1_length_mae,stint2_length_mae,stint3_length_mae
Linear,CatBoost,0.6694677871148459,0.6274509803921569,0.6106442577030813,0.4537037037037037,6.238095238095238,8.27450980392157,5.925925925925926
Linear,SVM,0.6694677871148459,0.6274509803921569,0.6050420168067226,0.4351851851851852,6.428571428571429,8.991596638655462,6.7407407407407405
Linear,Linear,0.6694677871148459,0.6274509803921569,0.6022408963585434,0.37037037037037035,6.9411764705882355,8.767507002801121,6.851851851851852
Linear,Ridge,0.6694677871148459,0.6274509803921569,0.5994397759103641,0.37037037037037035,6.915966386554622,8.711484593837534,6.787037037037037
Linear,GradientBoosting,0.6694677871148459,0.6274509803921569,0.6134453781512605,0.48148148148148145,6.224089635854342,8.246498599439775,5.888888888888889
Linear,KNN,0.6694677871148459,0.6274509803921569,0.6022408963585434,0.5092592592592593,6.484593837535014,8.022408963585434,5.805555555555555
Ridge,RandomForest,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5932203389830508,6.081232492997199,7.3165266106442575,5.822033898305085
Ridge,XGBoost,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5508474576271186,5.879551820728292,7.212885154061625,6.02542372881356
Ridge,CatBoost,0.7254901960784313,0.7170868347338936,0.6778711484593838,0.5423728813559322,5.775910364145658,7.240896358543417,5.610169491525424
Ridge,SVM,0.7254901960784313,0.7170868347338936,0.6834733893557423,0.5254237288135594,6.050420168067227,8.103641456582633,6.093220338983051
Ridge,Linear,0.7254901960784313,0.7170868347338936,0.6862745098039216,0.5423728813559322,6.624649859943977,8.330532212885155,6.228813559322034
Ridge,Ridge,0.7254901960784313,0.7170868347338936,0.6862745098039216,0.5423728813559322,6.565826330532213,8.296918767507004,6.245762711864407
Ridge,GradientBoosting,0.7254901960784313,0.7170868347338936,0.6834733893557423,0.5677966101694916,5.966386554621849,7.1988795518207285,5.52542372881356
Ridge,KNN,0.7254901960784313,0.7170868347338936,0.680672268907563,0.5932203389830508,5.935574229691877,7.3277310924369745,5.576271186440678
GradientBoosting,RandomForest,0.8571428571428571,0.7198879551820728,0.7002801120448179,0.6164383561643836,5.658263305322129,6.215686274509804,5.821917808219178
GradientBoosting,XGBoost,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5547945205479452,5.470588235294118,6.137254901960785,5.835616438356165
GradientBoosting,CatBoost,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5616438356164384,5.4677871148459385,6.128851540616247,5.732876712328767
GradientBoosting,SVM,0.8571428571428571,0.7198879551820728,0.7058823529411765,0.5616438356164384,5.705882352941177,6.526610644257703,5.917808219178082
GradientBoosting,Linear,0.8571428571428571,0.7198879551820728,0.7142857142857143,0.5958904109589042,6.11484593837535,7.4145658263305325,6.554794520547945
GradientBoosting,Ridge,0.8571428571428571,0.7198879551820728,0.7086834733893558,0.5821917808219178,6.042016806722689,7.383753501400561,6.52054794520548
GradientBoosting,GradientBoosting,0.8571428571428571,0.7198879551820728,0.711484593837535,0.589041095890411,5.434173669467787,6.277310924369748,5.513698630136986
GradientBoosting,KNN,0.8571428571428571,0.7198879551820728,0.6890756302521008,0.5684931506849316,5.647058823529412,5.904761904761905,5.301369863013699
KNN,RandomForest,0.8151260504201681,0.6834733893557423,0.7058823529411765,0.6115107913669064,5.61344537815126,6.4677871148459385,5.597122302158273
KNN,XGBoost,0.8151260504201681,0.6834733893557423,0.711484593837535,0.6115107913669064,5.470588235294118,6.380952380952381,5.633093525179856
KNN,CatBoost,0.8151260504201681,0.6834733893557423,0.7086834733893558,0.6187050359712231,5.484593837535014,6.380952380952381,5.58273381294964
KNN,SVM,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.60431654676259,5.627450980392157,6.851540616246498,6.0359712230215825
KNN,Linear,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.5899280575539568,6.26890756302521,7.616246498599439,6.597122302158273
KNN,Ridge,0.8151260504201681,0.6834733893557423,0.7198879551820728,0.60431654676259,6.182072829131653,7.571428571428571,6.489208633093525
KNN,GradientBoosting,0.8151260504201681,0.6834733893557423,0.711484593837535,0.6258992805755396,5.431372549019608,6.5322128851540615,5.424460431654676
KNN,KNN,0.8151260504201681,0.6834733893557423,0.7030812324929971,0.6330935251798561,5.739495798319328,6.249299719887955,5.0503597122302155
