Driver,Year,Circuit,nLaps,NumberOfStints,CompoundStrategy,StintLengthStrategy,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,mean_brake_time,std_brake_time,AvgSpeed,StdSpeed,AvgSpeedDelta,StdSpeedDelta,AvgGearChanges
ALB,2022,Miami International Autodrome,57,2,"['MEDIUM', 'HARD']","[16, 41]",Williams,18,30.617283950617285,58.858024691358025,1009.3049382716048,0.0555555555555555,42.81975308641975,174.38888888888889,2.2672839506172835,21.469234756097563,4.008030258437545,194.78542656977356,12.98383536158748,265.1476514085366,15.397992959805013,37.733231707317074
ALB,2022,Jeddah Corniche Circuit,50,2,"['MEDIUM', 'HARD']","[13, 35]",Williams,16,25.42039473684211,59.66447368421053,1012.7776315789474,0.0,28.40921052631579,304.50657894736844,2.359210526315789,16.702587912087914,3.8039100250527578,215.72317373746768,18.38353783765146,243.12478632478633,23.12454020837507,43.019780219780216
ALB,2022,Circuit of the Americas,56,3,"['MEDIUM', 'MEDIUM', 'HARD']","[9, 9, 38]",Williams,8,29.28529411764706,49.62352941176471,991.1994117647056,0.0,35.523529411764706,107.73529411764706,5.487058823529412,25.577306042884988,3.221591617443288,180.53409601520528,14.128090827415576,244.87719298245614,18.02246025251408,44.83040935672515
ALB,2023,Yas Marina Circuit,58,3,"['MEDIUM', 'HARD', 'HARD']","[16, 27, 15]",Williams,14,26.962820512820524,51.0,1014.9275641025638,0.0,33.46089743589744,284.93589743589746,1.794871794871795,16.110402006172837,1.8753226288296352,206.0349302561286,7.558284382352504,259.6510802469136,16.42075924404872,42.692746913580244
ALB,2023,Baku City Circuit,51,2,"['MEDIUM', 'HARD']","[7, 44]",Williams,12,24.860625,49.225,1008.64625,0.0,41.21,125.6875,1.083125,27.215014610389616,2.931308220260595,193.1353029740377,9.71283801139177,266.87401501848876,18.575145562918458,54.54545454545455
ALB,2023,Silverstone Circuit,52,2,"['MEDIUM', 'SOFT']","[32, 20]",Williams,8,21.473509933774835,56.18543046357616,1001.2258278145694,0.0,30.94105960264901,205.39735099337747,3.023841059602649,18.469121875,4.470634420067938,213.19921365461653,20.050139532441992,232.75625,16.12135586087872,38.30625
ALB,2023,Circuit Gilles Villeneuve,70,2,"['MEDIUM', 'HARD']","[12, 58]",Williams,9,18.53024691358025,63.901234567901234,1011.5524691358024,0.0,30.59320987654321,314.1296296296296,1.941975308641975,18.8795,5.028583369122182,191.25058129314874,17.968477632541564,270.8117816091954,13.305091020924376,45.18103448275862
ALB,2023,Hungaroring Circuit,70,3,"['MEDIUM', 'HARD', 'HARD']","[8, 23, 38]",Williams,16,28.808536585365857,32.80487804878049,988.4018292682925,0.0,48.57926829268293,174.53658536585365,1.4408536585365852,21.425811212814647,1.405563766086882,180.94148402169955,5.8821523340335515,227.8218916857361,13.651787804894004,42.79567124332571
ALB,2023,Autodromo Nazionale Monza,53,2,"['MEDIUM', 'HARD']","[15, 36]",Williams,6,29.330128205128204,42.32051282051282,1000.5615384615384,0.0,42.928205128205136,179.26923076923077,1.13974358974359,14.182516666666668,1.2604867558049038,236.06533624732435,6.763193191478161,270.30555555555554,13.423617730961931,35.37777777777778
ALB,2023,Suzuka Circuit,53,3,"['MEDIUM', 'MEDIUM', 'SOFT']","[1, 12, 13]",Williams,13,27.28860759493671,42.31645569620253,1012.9335443037972,0.0,42.070253164556966,121.50632911392404,1.8297468354430384,25.70844230769231,5.325122318308334,174.3987487415251,17.4263740485408,264.5350426165242,11.524106117608165,45.28418803418803
ALB,2023,Las Vegas Strip Circuit,50,2,"['MEDIUM', 'HARD']","[16, 34]",Williams,5,18.05,47.36111111111112,939.7814814814813,0.0,17.99444444444444,220.33333333333331,2.3009259259259256,26.602351102941178,10.080757210218325,206.97015212452106,28.24969182905862,260.83147976941177,19.013469197544612,45.19852941176471
ALB,2023,Autódromo Hermanos Rodríguez,71,3,"['HARD', 'MEDIUM', 'MEDIUM']","[33, 1, 37]",Williams,14,25.547368421052628,23.55263157894737,779.5205263157894,0.0,45.63947368421052,247.68421052631575,1.4900000000000002,26.936834561834562,3.415660046211112,151.74020954717108,9.216620614962443,268.05760305760305,9.815699281426985,33.06388206388206
ALB,2023,Miami International Autodrome,57,2,"['MEDIUM', 'HARD']","[22, 35]",Williams,11,27.11741935483871,59.42580645161291,1018.3787096774192,0.0,36.68903225806452,135.54193548387096,3.970322580645162,20.208406493506494,1.443627130479733,205.0622836113807,5.265654893652849,269.7285714285714,12.086491016520908,34.08246753246753
ALB,2023,Jeddah Corniche Circuit,50,2,"['MEDIUM', 'HARD']","[17, 10]",Williams,17,26.09189189189189,57.79054054054054,1010.9297297297296,0.0,31.79256756756757,271.1621621621622,1.772297297297297,20.56909117647059,5.3868747561365655,210.40415503538776,22.02689628924593,248.4821577512784,19.792781447468187,43.86470588235295
ALB,2023,Marina Bay Street Circuit,61,3,"['MEDIUM', 'HARD', 'MEDIUM']","[20, 23, 19]",Williams,14,29.844318181818185,72.0284090909091,1008.9784090909092,0.0,36.42215909090909,169.2840909090909,1.4159090909090908,26.431833371472162,3.639722817860433,169.640355350998,13.96107078879544,246.43806254767355,13.972436677717006,50.95621662852784
ALB,2023,Circuit de Barcelona-Catalunya,66,3,"['SOFT', 'HARD', 'MEDIUM']","[16, 21, 28]",Williams,18,22.674025974025977,63.077922077922075,1001.0909090909093,0.0,33.838961038961045,132.64285714285714,1.8694805194805195,16.011052579365078,1.9364311467224786,203.7875007633606,7.505048488763328,217.53373015873015,18.528962859805503,31.9890873015873
ALB,2023,Circuit of the Americas,56,3,"['MEDIUM', 'HARD', 'MEDIUM']","[10, 19, 27]",Williams,15,29.96011904761904,41.910714285714285,993.7309523809523,0.0,40.62857142857143,107.89285714285715,3.3142857142857145,23.80144918778427,1.3980008511362687,187.78208824516796,6.0322211271222805,240.63203378817414,17.196171819692413,43.394411955815464
ALB,2024,Yas Marina Circuit,58,2,"['MEDIUM', 'HARD']","[12, 45]",Williams,18,26.76824324324324,51.44594594594594,1017.4263513513514,0.0,31.80540540540541,137.03378378378378,1.9006756756756755,16.91015833333333,2.031785782025921,203.59542811009413,10.22085153357289,262.18333333333334,17.710462215595,40.78055555555555
ALB,2024,Red Bull Ring,71,3,"['MEDIUM', 'HARD', 'HARD']","[12, 27, 31]",Williams,16,29.42587412587413,35.00699300699301,932.862937062937,0.006993006993006899,46.42097902097904,235.51048951048952,1.6678321678321677,15.758740143369176,1.5882230495670007,213.32988116160348,8.852119240062978,253.27021107128635,16.711961057932168,37.979291119076066
